I,P,Tgran,Theta,e_rest,kt,kt_is_default,label,mu,mu_g,n_samples,seed,tau
0.000718465610877193,1.9374967192982457,0.0005,5.545911047368421e-05,0.5,300000.0,False,e0.5_k3.0e5_mu0.3_T0.0005_s2,0.24359500666666667,0.3,57,2,-0.4721952803508772
0.000715917195263158,1.951424742105263,0.0005,5.360499245614035e-05,0.5,300000.0,False,e0.5_k3.0e5_mu0.3_T0.0005_s3,0.24558106140350874,0.3,57,3,-0.4791468156140351
0.0007143444629824563,1.9597284929824563,0.002,0.00017350618368421056,0.5,300000.0,False,e0.5_k3.0e5_mu0.3_T0.002_s1,0.19464640578947368,0.3,57,1,-0.3814569273684211
0.0007209406157894735,1.9240990140350878,0.002,0.000174221128245614,0.5,300000.0,False,e0.5_k3.0e5_mu0.3_T0.002_s2,0.1953463594736842,0.3,57,2,-0.37592260175438597
0.0007224272314035089,1.9162876807017544,0.002,0.00016730555789473684,0.5,300000.0,False,e0.5_k3.0e5_mu0.3_T0.002_s3,0.19728586070175436,0.3,57,3,-0.37820032666666664
0.0007189996354385965,1.9347407684210527,0.006,0.000488452190877193,0.5,300000.0,False,e0.5_k3.0e5_mu0.3_T0.006_s1,0.15099429315789473,0.3,57,1,-0.29230296350877194
0.0007170556457894736,1.945199649122807,0.006,0.0005214926045614035,0.5,300000.0,False,e0.5_k3.0e5_mu0.3_T0.006_s2,0.1493415484210526,0.3,57,2,-0.290774222631579
0.0007148126445614035,1.9573883228070175,0.006,0.0004903917891228071,0.5,300000.0,False,e0.5_k3.0e5_mu0.3_T0.006_s3,0.14447332912280697,0.3,57,3,-0.2830069471929824
0.0007122110547368421,1.9716015859649123,0.015,0.0014334255543859652,0.5,300000.0,False,e0.5_k3.0e5_mu0.3_T0.015_s1,0.13820719507017545,0.3,57,1,-0.2725490157894737
0.0007150484371929825,1.955970543859649,0.015,0.0014569733789473684,0.5,300000.0,False,e0.5_k3.0e5_mu0.3_T0.015_s2,0.11910163894736843,0.3,57,2,-0.23301141
0.0007151275001754385,1.9557257385964912,0.015,0.0014528994298245617,0.5,300000.0,False,e0.5_k3.0e5_mu0.3_T0.015_s3,0.1216585387368421,0.3,57,3,-0.23821319456140347
0.0007112839763157894,1.9769972315789472,0.0005,0.00010600908901754386,0.5,300000.0,False,e0.5_k3.0e5_mu1.0_T0.0005_s1,0.26202924649122805,1.0,57,1,-0.5183818421052632
0.0007103611256140351,1.9818503877192983,0.0005,0.00011125650070175438,0.5,300000.0,False,e0.5_k3.0e5_mu1.0_T0.0005_s2,0.25920650315789473,1.0,57,2,-0.5137942198245614
0.0007157495298245615,1.952175068421053,0.0005,0.00010796361668421053,0.5,300000.0,False,e0.5_k3.0e5_mu1.0_T0.0005_s3,0.2780836145614035,1.0,57,3,-0.5429061212280702
0.0007139287654385964,1.9621205385964913,0.002,0.00028055114192982453,0.5,300000.0,False,e0.5_k3.0e5_mu1.0_T0.002_s1,0.24366257824561402,1.0,57,1,-0.47830578175438593
0.0007036297045614035,2.020067015789474,0.002,0.0002706551843859649,0.5,300000.0,False,e0.5_k3.0e5_mu1.0_T0.002_s2,0.2524525761403509,1.0,57,2,-0.510284652631579
0.0007155994814035088,1.9529426315789473,0.002,0.00028459451842105266,0.5,300000.0,False,e0.5_k3.0e5_mu1.0_T0.002_s3,0.24589709999999998,1.0,57,3,-0.48014579491228065
0.0007124000870175439,1.9706393894736844,0.006,0.0005980143045614037,0.5,300000.0,False,e0.5_k3.0e5_mu1.0_T0.006_s1,0.22027904228070175,1.0,57,1,-0.434400043508772
0.000709923624736842,1.9843042701754385,0.006,0.0006218898217543859,0.5,300000.0,False,e0.5_k3.0e5_mu1.0_T0.006_s2,0.1965876405263158,1.0,57,2,-0.39013043982456147
0.0007112027894736842,1.9772346596491228,0.006,0.0006334300922807017,0.5,300000.0,False,e0.5_k3.0e5_mu1.0_T0.006_s3,0.217715009122807,1.0,57,3,-0.4307049115789474
0.0007077378905263157,1.9967217491228069,0.015,0.001385358156140351,0.5,300000.0,False,e0.5_k3.0e5_mu1.0_T0.015_s1,0.13896567131578946,1.0,57,1,-0.27746953596491225
0.0007115666105263157,1.9753349438596493,0.015,0.001428046012280702,0.5,300000.0,False,e0.5_k3.0e5_mu1.0_T0.015_s2,0.1611816266666667,1.0,57,2,-0.3186901896491228
