mu_g,Tgran,seed,mu,a_c,a_n,a_t,f_mean,cv_f,pr_f,ncon,chi,P
0.05,0.02,2,0.10719522774235128,0.08033994680682782,0.13366292517931153,0.0003875848679770701,22.246696349629776,0.6686887445536349,0.6910230622076707,8312.65,0.24387908041608744,25.0
0.05,0.03,1,0.09997484674389176,0.0756252419926078,0.12403646139499229,0.00028798725254814675,22.294617889405572,0.6789979144583829,0.6844504137913969,8236.6,0.28055567088909583,25.0
0.05,0.03,2,0.10317536653932229,0.08103228142616252,0.12496065162788253,0.00035780101394521286,22.411256210602698,0.6740930830157505,0.68757172822598,8256.0,0.2800291162529162,25.0
0.15,0.0005,1,0.22510179796468704,0.16118853063558933,0.2654714865816655,0.023543584504145933,24.179953001582888,0.7325260929014893,0.6508024049806934,7747.0,0.04828939740547578,25.0
0.15,0.0005,2,0.23547790294972532,0.16893619549776026,0.27855372702651093,0.02346588149964056,24.0079472007102,0.7353231546409457,0.6490696634119875,7737.0,0.051234813462869636,25.0
0.15,0.0015,1,0.21832545540149678,0.15395807600497466,0.26337195891713433,0.01932087083518679,23.91944068403311,0.7299971533368727,0.6523861989828944,7837.65,0.04240932074875285,25.0
0.15,0.0015,2,0.2169959879035916,0.15424923488467146,0.26045119159925983,0.019291547512188097,23.800168564449596,0.728487883499943,0.6533175111397057,7805.3,0.04322809069824212,25.0
0.15,0.001,1,0.22404608646329316,0.15444953190715197,0.2721069339350874,0.021535710981332674,24.11316022447486,0.7287088539657843,0.6531773336416307,7791.45,0.042353412652857164,25.0
0.15,0.001,2,0.22162759195147325,0.14945026679836163,0.27235600700752716,0.021448915538553628,23.848740610668337,0.7326272938413537,0.6507514523608423,7778.8,0.04438143150139682,25.0
0.15,0.003,1,0.2064160040531678,0.1418296894630721,0.25632652736914063,0.0146757943832591,23.559978824044567,0.7284503662949187,0.6533390653724302,7879.8,0.047352649069034004,25.0
0.15,0.003,2,0.20706652851932045,0.14701907248547902,0.2519361600398232,0.01517781947893892,23.72902112669122,0.715326484076223,0.66152481864716,7895.75,0.044800914987376345,25.0
0.15,0.005,1,0.1925053010534665,0.13553740528843233,0.2378794008785948,0.011593796338383663,23.3670008483759,0.7141256393805505,0.6622746008122656,7955.05,0.052429287075089114,25.0
0.15,0.005,2,0.19523433766369105,0.1364790974795021,0.2414854823513445,0.012504093756192342,23.497922300223955,0.7143886340185155,0.6621279976713741,7959.4,0.05206106909666656,25.0
0.15,0.008,1,0.1794568676562027,0.12411272640835991,0.22604259613637412,0.008758411997249048,23.063177668191326,0.7062719924967679,0.6672041997724137,8034.0,0.06109282809802963,25.0
0.15,0.008,2,0.18206060468320667,0.1276450257775526,0.2272481619153429,0.009228014652510918,23.31662015334799,0.7067548023391068,0.6669043502131414,8033.35,0.060918867232622555,25.0
0.15,0.013,1,0.16396884898767244,0.11970190702691838,0.2020926197132345,0.006143166702666571,22.966170358949515,0.6996084009230341,0.6714023291457378,8094.1,0.0750129173028235,25.0
0.15,0.013,2,0.16186303442845745,0.1154384481343483,0.20283338869945539,0.005454233487317425,23.107389642864852,0.6993681143451174,0.6715477355309207,8084.15,0.07568055602085541,25.0
0.15,0.02,1,0.14472785295109594,0.10495239452366376,0.18098329284669717,0.003520019473364999,22.59255964524144,0.6940268386368322,0.6749255573276426,8136.45,0.09288367045838242,25.0
0.15,0.02,2,0.1482199335732336,0.10522597509577794,0.18726085392170655,0.003953041008140331,22.73961175305052,0.6905719116093707,0.6771077219100482,8145.7,0.09187148152621974,25.0
