P,mu_g,Tgran,seed,chi
50.0,0.3,0.065,2,0.05449977701814572
50.0,0.3,0.1,1,0.060676844345450856
50.0,0.3,0.1,2,0.059855611388263945
50.0,0.3,0.15,1,0.06713659605778646
50.0,0.3,0.15,2,0.0674100003285038
50.0,0.5,0.0025,1,0.04055274367838456
50.0,0.5,0.0025,2,0.036465220374891555
50.0,0.5,0.0075,1,0.036632463070089626
50.0,0.5,0.0075,2,0.030902714769769673
50.0,0.5,0.005,1,0.03697123776771473
50.0,0.5,0.005,2,0.03169829265679447
50.0,0.5,0.015,1,0.034876765205560045
50.0,0.5,0.015,2,0.030817844030602278
50.0,0.5,0.025,1,0.03604270605237351
50.0,0.5,0.025,2,0.030952121720425732
50.0,0.5,0.04,1,0.03825652365411701
50.0,0.5,0.04,2,0.033224372077338075
50.0,0.5,0.065,1,0.04007163290410844
50.0,0.5,0.065,2,0.0359821209421184
50.0,0.5,0.1,1,0.04372221322310515
50.0,0.5,0.1,2,0.03892095477737761
50.0,0.5,0.15,1,0.04791401268239834
50.0,0.5,0.15,2,0.043141107622368856
