P,mu_g,Tgran,seed,mu,a_c,a_n,a_t,Theta
5.0,0.15,0.06,1,0.09042167792918486,0.09349055607546856,0.08268050469512912,0.0017298604530288845,0.003708804439285715
5.0,0.15,0.06,2,0.0889518546319234,0.08946778176679411,0.08310911760681737,0.001139996154126085,0.003621148267857143
5.0,0.15,0.06,3,0.09403415710930695,0.09215485837187605,0.0915331533292495,0.0004422351190806718,0.0036934249892857153
5.0,0.15,0.06,4,0.09536445571870561,0.09392569425024706,0.09304330084075217,0.00131199340939111,0.0037330660750000003
5.0,0.15,0.125,1,0.07705501112902836,0.09096941066978806,0.05988817621654362,0.0008709798100061612,0.009333783989285716
5.0,0.15,0.125,2,0.07777715227372131,0.0892611398727326,0.05966227433010296,0.0010461038771320463,0.009354795782142858
5.0,0.15,0.125,3,0.08777212088728287,0.10191024945436122,0.06698748127615814,0.0007687620511741029,0.009334055639285714
5.0,0.15,0.125,4,0.08108087854945488,0.09815966896570165,0.06010687054707067,0.0016146758338393993,0.009391706260714287
5.0,0.1,0.00075,1,0.29737517841108885,0.2826297292243174,0.30439721999592567,0.0016599413491437853,6.527231110714285e-05
5.0,0.1,0.00075,2,0.2765816590620107,0.18984867341012082,0.35676447850601367,0.00037305312374560353,7.179818335714286e-05
