mu_g,Tgran,seed,mu,Theta,a_c,a_n,a_t
0.08,0.02,2,0.11401010553703703,0.0011466499277777778,0.08407680441103706,0.14081350292842287,0.0031299037346141367
0.08,0.02,3,0.11713595388888891,0.0011635017481481482,0.09086572261010101,0.14618308063815658,-0.0027768954704797677
0.08,0.02,4,0.10436420579629632,0.0011628393722222224,0.08024161472594635,0.12658007072748725,0.0019067261391590429
0.08,0.02,5,0.11076745483333333,0.0011717896925925928,0.08689229450137767,0.135479741635552,-0.0008371264702629888
0.08,0.03,1,0.10533007055555554,0.0018372220407407408,0.08726573696258884,0.12604043824577557,-0.002646034097253322
0.08,0.03,2,0.09535212844444442,0.001874120572222222,0.07602137185865318,0.11530102362542849,-0.0006181385951928298
0.08,0.03,3,0.0986125884074074,0.001858561540740741,0.08106301433001113,0.11298694552524872,0.003175216959554944
0.08,0.03,4,0.09314342455555552,0.001877485074074074,0.06778476716977447,0.11459618521846833,0.0039058967228682434
0.08,0.03,5,0.11723461261111111,0.0019016888166666671,0.09084566808134026,0.1409155660626026,0.002707991078279348
0.0,0.0005,1,0.1051417692962963,0.00028621603499999997,0.2676078526478318,0.31690701382100006,-0.37423132787623925
0.0,0.0005,2,0.09486191222222223,0.00029567267333333334,0.1373972848500088,0.3102293168017749,-0.25790277720733923
0.0,0.0005,3,0.09943956720370369,0.00031058969185185185,0.2875401746038436,0.3146978475615159,-0.40335888775795214
0.0,0.0015,1,0.09557450988888887,0.00034011654166666666,0.0718836399703357,0.12567072880916982,-0.006405349001727789
0.0,0.0015,2,0.09662403033333335,0.000382367688148148,0.07527937270629957,0.11488677486671794,0.0030819130936491773
0.0,0.0015,3,0.10478551203703702,0.000403539302962963,0.06984177287811058,0.14071704597780563,-0.0009877947818421606
0.0,0.001,1,0.09552756583333333,0.00035591651462962967,0.07075370067253946,0.12046209631091816,-0.00016066531679095886
0.0,0.001,2,0.10150264601851851,0.0003075723407407408,0.0778687753303535,0.1188969192561996,0.0062395974504839136
0.0,0.001,3,0.10420292422222223,0.00033143235444444444,0.07855130268859674,0.1255199350243543,0.00433461073149341
0.0,0.003,1,0.09675006559259257,0.0005794596766666667,0.07579659721392344,0.11848525828968184,-0.0007817243184201489
0.0,0.003,2,0.09407418794444443,0.0005873619853703704,0.07339439936513392,0.11225405688184545,0.002499919641909487
0.0,0.003,3,0.09247961903703704,0.0005719492877777778,0.0761769579797476,0.10847207648464656,0.0003102036096799127
0.0,0.005,1,0.08800837496296295,0.0008044122033333333,0.07551934427887287,0.1003274049038303,0.00017000074322272296
0.0,0.005,2,0.0839705767037037,0.0008396006805555553,0.06752895186678848,0.09545417041315721,0.0049580311274617095
0.0,0.005,3,0.09030880088888889,0.0008177607466666666,0.07484722704975247,0.10497463490477081,0.000795739823254496
0.0,0.008,1,0.0873336453888889,0.0012684885203703704,0.07230742442186303,0.10103897592980868,0.001320890426106086
0.0,0.008,2,0.09627083318518519,0.0012463100148148148,0.07169240552973957,0.11318436387731916,0.007664896963311643
0.0,0.008,3,0.08457851437037041,0.0012266036925925926,0.07571278838404871,0.09938212354292947,-0.005937883186237364
0.0,0.013,1,0.09377881218518518,0.0018834130685185188,0.08212922622274611,0.10916826057902926,-0.0037398624314050194
0.0,0.013,2,0.09488175187037039,0.0018194756240740744,0.07505060512789405,0.11838805869888465,-0.0036751600860379235
0.0,0.013,3,0.08559651842592592,0.00188816715,0.07265248444263347,0.09536300057779822,0.0031775518314201417
0.0,0.02,1,0.09424415457407409,0.002749889572222222,0.08176121927016272,0.10810404127856824,-0.0013769514005827765
0.0,0.02,2,0.08494429422222224,0.0027756173703703704,0.06565236931253325,0.10377312111856037,0.0004630980133508711
0.0,0.02,3,0.08504605716666669,0.002745457379629629,0.06962510904041644,0.0986135426134228,0.0018534626794941417
0.0,0.03,1,0.08446611740740739,0.004104250718518518,0.06986746393439654,0.09610587415171683,0.002958896728701421
0.0,0.03,2,0.08992658577777776,0.00408414041111111,0.07759651143670049,0.10127083778850136,0.0009858223303536723
0.0,0.03,3,0.09438420918518516,0.0041142853314814825,0.0842248616899939,0.10283372006503991,0.0017098366153365102
0.11,0.0015,1,0.18057404518518522,0.00010065388227777779,0.12356923987046298,0.22687580048428785,0.010703050015619608
0.11,0.0015,2,0.18527739037037033,0.0001048116318333333,0.13007460565370985,0.23110576427469498,0.009374410812335837
0.11,0.0015,3,0.1955118577777778,0.00010234888222222221,0.13753637413440714,0.24118415550655362,0.012303185914594866
0.11,0.0015,4,0.1960834662962963,0.0001014937067222222,0.1319455725842554,0.25409805275810077,0.006123307250236409
0.11,0.0015,5,0.2055130237037037,0.00010221201631481482,0.14671576564886807,0.2514549590357741,0.012855322722765239
0.11,0.001,1,0.1855254816666667,7.231528350000001e-05,0.12053932466651782,0.23497871755004457,0.015532921116771015
0.11,0.001,2,0.1805611446296297,7.701540162962961e-05,0.12972338519850374,0.21591025849075846,0.015488645569997184
0.11,0.001,3,0.19548427055555553,7.459096929629628e-05,0.13635439787191078,0.23837395480482773,0.016240188434372554
